Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
D95,SMA-DIODE,18.93mm,146.91mm,B,-90,TVSSMA,11,4W
D96,SMA-DIODE,23.53mm,149.76mm,B,-90,TVSSMA,11,4W
D97,SOD-323,35.12mm,145.80mm,B,0,LOWLEAKAGE,11,
D98,SOD-323,13.05mm,141.03mm,B,180,LOWLEAKAGE,11,4W
D99,SOD-323,13.05mm,142.62mm,B,0,LOWLEAKAGE,11,4W
D100,SOD-323,41.31mm,153.73mm,B,180,BAT20JFILM,12,
D101,SOD-323,12.26mm,160.72mm,B,180,LOWLEAKAGE,12,4W
D102,SOD-323,12.26mm,162.31mm,B,0,LOWLEAKAGE,12,4W
D103,SOD-323,35.12mm,156.91mm,B,180,LOWLEAKAGE,12,
D104,SMA-DIODE,18.93mm,159.61mm,B,-90,TVSSMA,12,4W
D105,SMA-DIODE,23.53mm,162.46mm,B,-90,TVSSMA,12,4W
D106,SOD-323,35.12mm,158.50mm,B,0,LOWLEAKAGE,12,
D107,SOD-323,13.05mm,153.73mm,B,180,LOWLEAKAGE,12,4W
D108,SOD-323,13.05mm,155.32mm,B,0,LOWLEAKAGE,12,4W
D109,SOD-323,41.31mm,166.43mm,B,180,BAT20JFILM,13,
D110,SOD-323,12.26mm,173.42mm,B,180,LOWLEAKAGE,13,4W
D111,SOD-323,12.26mm,175.00mm,B,0,LOWLEAKAGE,13,4W
D112,SOD-323,35.12mm,169.61mm,B,180,LOWLEAKAGE,13,
D113,SMA-DIODE,18.93mm,172.31mm,B,-90,TVSSMA,13,4W
D114,SMA-DIODE,23.53mm,175.16mm,B,-90,TVSSMA,13,4W
D115,SOD-323,35.12mm,171.20mm,B,0,LOWLEAKAGE,13,
D116,SOD-323,13.05mm,166.43mm,B,180,LOWLEAKAGE,13,4W
D117,SOD-323,13.05mm,168.02mm,B,0,LOWLEAKAGE,13,4W
D118,SOD-323,41.31mm,179.13mm,B,180,BAT20JFILM,14,
D119,SOD-323,12.26mm,186.12mm,B,180,LOWLEAKAGE,14,4W
D120,SOD-323,12.26mm,187.71mm,B,0,LOWLEAKAGE,14,4W
D121,SOD-323,35.12mm,182.31mm,B,180,LOWLEAKAGE,14,
D122,SMA-DIODE,18.93mm,185.01mm,B,-90,TVSSMA,14,4W
D123,SMA-DIODE,23.53mm,187.86mm,B,-90,TVSSMA,14,4W
D124,SOD-323,35.12mm,183.90mm,B,0,LOWLEAKAGE,14,
D125,SOD-323,13.05mm,179.13mm,B,180,LOWLEAKAGE,14,4W
D126,SOD-323,13.05mm,180.72mm,B,0,LOWLEAKAGE,14,4W
D127,SOD-323,41.31mm,191.83mm,B,180,BAT20JFILM,15,
D128,SOD-323,12.26mm,198.82mm,B,180,LOWLEAKAGE,15,4W
D129,SOD-323,12.26mm,200.41mm,B,0,LOWLEAKAGE,15,4W
D130,SOD-323,35.12mm,195.01mm,B,180,LOWLEAKAGE,15,
D131,SMA-DIODE,18.93mm,197.71mm,B,-90,TVSSMA,15,4W
D132,SMA-DIODE,23.53mm,200.56mm,B,-90,TVSSMA,15,4W
D133,SOD-323,35.12mm,196.59mm,B,0,LOWLEAKAGE,15,
D134,SOD-323,13.05mm,191.83mm,B,180,LOWLEAKAGE,15,4W
D135,SOD-323,13.05mm,193.42mm,B,0,LOWLEAKAGE,15,4W
D136,SOD-323,41.31mm,204.53mm,B,180,BAT20JFILM,16,
D137,SOD-323,12.26mm,211.52mm,B,180,LOWLEAKAGE,16,4W
D138,SOD-323,12.26mm,213.11mm,B,0,LOWLEAKAGE,16,4W
D139,SOD-323,35.12mm,207.71mm,B,180,LOWLEAKAGE,16,
D140,SMA-DIODE,18.93mm,210.41mm,B,-90,TVSSMA,16,4W
D141,SMA-DIODE,23.53mm,213.26mm,B,-90,TVSSMA,16,4W
D142,SOD-323,35.12mm,209.30mm,B,0,LOWLEAKAGE,16,
D143,SOD-323,13.05mm,204.53mm,B,180,LOWLEAKAGE,16,4W
D144,SOD-323,13.05mm,206.12mm,B,0,LOWLEAKAGE,16,4W
D146,SMA-DIODE,169.58mm,43.88mm,B,90,TVSSMA,,
D148,SMA-DIODE,169.58mm,33.72mm,B,90,TVSSMA,,
D158,SOD-323,104.70mm,93.02mm,B,90,LOWLEAKAGE,,
D159,SOD-323,106.40mm,93.02mm,B,-90,LOWLEAKAGE,,
D160,SOD-323,104.70mm,89.31mm,B,-90,LOWLEAKAGE,,
D161,SOD-323,106.40mm,89.31mm,B,90,LOWLEAKAGE,,
D164,SOD-323,94.01mm,106.90mm,B,180,BAT20J,,
D167,SOD-323,137.14mm,130.65mm,B,90,BAT20JFILM,,
D168,SOD-323,136.90mm,117.24mm,B,90,BAT20JFILM,,
D171,SOD-323,119.76mm,23.62mm,B,-90,250mA/100V,,
D172,SOD-323,149.48mm,23.62mm,B,-90,250mA/100V,,
FD4,FIDUCIAL,163.81mm,218.69mm,B,0,FIDUCIAL,,
FD6,FIDUCIAL,67.52mm,5.97mm,B,0,FIDUCIAL,,
FD7,FIDUCIAL,165.03mm,4.44mm,B,0,FIDUCIAL,,
FD8,FIDUCIAL,14.27mm,219.72mm,B,0,FIDUCIAL,,
IC1,SO08,72.42mm,17.37mm,B,90,V_BUFFER,1,
IC2,SO08,62.11mm,17.21mm,B,90,INA188,1,
IC4,SO08,72.42mm,30.07mm,B,90,V_BUFFER,2,
IC5,SO08,62.11mm,29.91mm,B,90,INA188,2,
IC7,SO08,72.42mm,42.77mm,B,90,V_BUFFER,3,
IC8,SO08,62.11mm,42.61mm,B,90,INA188,3,
IC10,SO08,72.42mm,55.47mm,B,90,V_BUFFER,4,
IC11,SO08,62.11mm,55.31mm,B,90,INA188,4,
IC13,SO08,72.42mm,68.17mm,B,90,V_BUFFER,5,
IC14,SO08,62.11mm,68.01mm,B,90,INA188,5,
IC16,SO08,72.42mm,80.87mm,B,90,V_BUFFER,6,
IC17,SO08,62.11mm,80.71mm,B,90,INA188,6,
IC19,SO08,72.42mm,93.57mm,B,90,V_BUFFER,7,
IC20,SO08,62.11mm,93.41mm,B,90,INA188,7,
IC22,SO08,72.42mm,106.27mm,B,90,V_BUFFER,8,
IC23,SO08,62.11mm,106.11mm,B,90,INA188,8,
IC25,SO08,72.42mm,118.97mm,B,90,V_BUFFER,9,
IC26,SO08,62.11mm,118.81mm,B,90,INA188,9,
IC28,SO08,72.42mm,131.67mm,B,90,V_BUFFER,10,
IC29,SO08,62.11mm,131.51mm,B,90,INA188,10,
IC31,SO08,72.42mm,144.37mm,B,90,V_BUFFER,11,
IC32,SO08,62.11mm,144.21mm,B,90,INA188,11,
IC34,SO08,72.42mm,157.07mm,B,90,V_BUFFER,12,
IC35,SO08,62.11mm,156.91mm,B,90,INA188,12,
IC37,SO08,72.42mm,169.77mm,B,90,V_BUFFER,13,
IC38,SO08,62.11mm,169.61mm,B,90,INA188,13,
IC40,SO08,72.42mm,182.47mm,B,90,V_BUFFER,14,
IC41,SO08,62.11mm,182.31mm,B,90,INA188,14,
IC43,SO08,72.42mm,195.17mm,B,90,V_BUFFER,15,
IC44,SO08,62.11mm,195.01mm,B,90,INA188,15,
IC46,SO08,72.42mm,207.87mm,B,90,V_BUFFER,16,
IC47,SO08,62.11mm,207.71mm,B,90,INA188,16,
IC50,SO28L,104.33mm,149.45mm,B,180,MAX306CWI,,
IC51,PRTR5V0U2X,159.26mm,64.83mm,B,-90,PRTR5V0U2X,,
IC52,SO28L,104.33mm,70.71mm,B,180,MAX306CWI,,
JP1,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,21.02mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP2,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,21.02mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP4,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,33.72mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP5,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,33.72mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP7,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,46.42mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP8,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,46.42mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP10,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,59.12mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP11,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,59.12mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP13,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,71.82mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP14,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,71.82mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP16,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,84.52mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP17,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,84.52mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP19,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,97.22mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP20,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,97.22mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP22,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,109.92mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP23,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,109.92mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP25,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,122.62mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP26,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,122.62mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP28,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,135.32mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP29,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,135.32mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP31,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,148.02mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP32,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,148.02mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP34,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,160.72mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP35,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,71.79mm,160.72mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP37,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,74.96mm,173.42mm,B,180,JUMPER-PAD-3-NC_BY_PASTE,,
