Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
D138,SOD-323,-67.04mm,192.04mm,T,0,LOWLEAKAGE,16,4W
D139,SOD-323,-44.18mm,186.64mm,T,180,LOWLEAKAGE,16,
D140,SMA-DIODE,-60.37mm,189.34mm,T,-90,TVSSMA,16,4W
D141,SMA-DIODE,-55.77mm,192.20mm,T,-90,TVSSMA,16,4W
D142,SOD-323,-44.18mm,188.23mm,T,0,LOWLEAKAGE,16,
D143,SOD-323,-66.25mm,183.47mm,T,180,LOWLEAKAGE,16,4W
D144,SOD-323,-66.25mm,185.06mm,T,0,LOWLEAKAGE,16,4W
D146,SMA-DIODE,90.28mm,22.81mm,T,-90,TVSSMA,,
D148,SMA-DIODE,90.28mm,12.65mm,T,-90,TVSSMA,,
D158,SOD-323,25.41mm,71.95mm,T,-90,BAT20JFILM,,
D159,SOD-323,27.10mm,71.95mm,T,-90,BAT20JFILM,,
D160,SOD-323,25.41mm,68.25mm,T,-90,BAT20JFILM,,
D161,SOD-323,27.10mm,68.25mm,T,-90,BAT20JFILM,,
D164,SOD-323,14.72mm,85.84mm,T,180,BAT20J,,
D167,SOD-323,57.85mm,109.58mm,T,-90,BAT20JFILM,,
D168,SOD-323,57.61mm,96.17mm,T,-90,BAT20JFILM,,
D171,SOD-323,40.47mm,2.56mm,T,-90,250mA/100V,,
D172,SOD-323,70.18mm,2.56mm,T,-90,250mA/100V,,
FD4,FIDUCIAL,84.51mm,197.62mm,T,0,FIDUCIAL,,
FD6,FIDUCIAL,-11.78mm,-15.10mm,T,0,FIDUCIAL,,
FD7,FIDUCIAL,85.73mm,-16.62mm,T,0,FIDUCIAL,,
FD8,FIDUCIAL,-65.03mm,198.66mm,T,0,FIDUCIAL,,
IC1,SO08,-6.87mm,-3.70mm,T,-90,V_BUFFER,1,
IC2,SO08,-17.19mm,-3.86mm,T,-90,INA188,1,
IC4,SO08,-6.87mm,9.00mm,T,-90,V_BUFFER,2,
IC5,SO08,-17.19mm,8.84mm,T,-90,INA188,2,
IC7,SO08,-6.87mm,21.70mm,T,-90,V_BUFFER,3,
IC8,SO08,-17.19mm,21.54mm,T,-90,INA188,3,
IC10,SO08,-6.87mm,34.40mm,T,-90,V_BUFFER,4,
IC11,SO08,-17.19mm,34.24mm,T,-90,INA188,4,
IC13,SO08,-6.87mm,47.10mm,T,-90,V_BUFFER,5,
IC14,SO08,-17.19mm,46.94mm,T,-90,INA188,5,
IC16,SO08,-6.87mm,59.80mm,T,-90,V_BUFFER,6,
IC17,SO08,-17.19mm,59.64mm,T,-90,INA188,6,
IC19,SO08,-6.87mm,72.50mm,T,-90,V_BUFFER,7,
IC20,SO08,-17.19mm,72.34mm,T,-90,INA188,7,
IC22,SO08,-6.87mm,85.20mm,T,-90,V_BUFFER,8,
IC23,SO08,-17.19mm,85.04mm,T,-90,INA188,8,
IC25,SO08,-6.87mm,97.90mm,T,-90,V_BUFFER,9,
IC26,SO08,-17.19mm,97.74mm,T,-90,INA188,9,
IC28,SO08,-6.87mm,110.60mm,T,-90,V_BUFFER,10,
IC29,SO08,-17.19mm,110.44mm,T,-90,INA188,10,
IC31,SO08,-6.87mm,123.30mm,T,-90,V_BUFFER,11,
IC32,SO08,-17.19mm,123.14mm,T,-90,INA188,11,
IC34,SO08,-6.87mm,136.00mm,T,-90,V_BUFFER,12,
IC35,SO08,-17.19mm,135.84mm,T,-90,INA188,12,
IC37,SO08,-6.87mm,148.70mm,T,-90,V_BUFFER,13,
IC38,SO08,-17.19mm,148.54mm,T,-90,INA188,13,
IC40,SO08,-6.87mm,161.40mm,T,-90,V_BUFFER,14,
IC41,SO08,-17.19mm,161.24mm,T,-90,INA188,14,
IC43,SO08,-6.87mm,174.10mm,T,-90,V_BUFFER,15,
IC44,SO08,-17.19mm,173.94mm,T,-90,INA188,15,
IC46,SO08,-6.87mm,186.80mm,T,-90,V_BUFFER,16,
IC47,SO08,-17.19mm,186.64mm,T,-90,INA188,16,
IC50,SO28L,25.04mm,128.38mm,T,180,MAX306CWI,,
IC51,PRTR5V0U2X,79.96mm,43.77mm,T,-90,PRTR5V0U2X,,
IC52,SO28L,25.04mm,49.64mm,T,180,MAX306CWI,,
JP1,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,-0.05mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP2,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-7.51mm,-0.05mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP4,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,12.65mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP5,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-7.51mm,12.65mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP7,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,25.35mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP8,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-7.51mm,25.35mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP10,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,38.05mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP11,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-7.51mm,38.05mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP13,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,50.75mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP14,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-7.51mm,50.75mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP16,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,63.45mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP17,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-7.51mm,63.45mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP19,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,76.15mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP20,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-7.51mm,76.15mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP22,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,88.85mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP23,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-7.51mm,88.85mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP25,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,101.55mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP26,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-7.51mm,101.55mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP28,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,114.25mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP29,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-7.51mm,114.25mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
JP31,PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX,-4.33mm,126.95mm,T,180,JUMPER-PAD-3-NC_BY_PASTE,,
